bebote,français
mb$,à côté de
b} y,abeille de terre
tèji,abeille; miel
bà1,abri (animaux domestiques)
t6,absence de
dan,accompagner
màs#,acide : être
ibà,activer (feu)
ndog#,acheter
t5jx,adorer; honorer
léwri,aiguille
ÿ1,"aiguiser, affûter"
dèr,ainé de famille
bè,"ainsi, comme ça; seulement"
màti-k$1,aisselle
dé,"alors, ainsi"
à,aller
àt#,amer : être
màd# : Do=mad,ami
p61e,ampoule
koôro,Le
da,imal
£-nEngé,"ineau, bracelet"
6a1l : Ba=6al,née
bäÿ-nè,née : cette
kà Î-nè,"née, passée : le"
mbe,annonce publique
nàs#,antilope cheval
bär,appeler
pi,"appeller, nommer"
go,après
£$-géji,arachide
küü-ngà-gangxra,araignée
kagt,arbre
y1ds,arbre : esp. de
mat#,arbre : néré
s1ys,arbre de karité
d11,arbre : cailcédrat
Kkürs -süu,bre : kapokier
$-gariya,bre : palmier doum
ngàa,buste épineux : esp. de
käm,buste; feuille
kénd#rs,-c et flèche
ân)+,argile noir
d3-bü,"arrêter, s'arrêter"
tèe,arriver
si,"asseoir, se"
àsà,|'assez: être; suffire
kodè,asticot
t$,attacher
ng£ns,- | attendre
nj0,aubergine
si,augmenter en volume
bé-nè : Ba=b6-nè,aujourd'hui
mâri,"autrefois, auparavant"
P5ù,autruche
tù,avaler
kété,"avant, entre-temps"
Kkà,avec
sè-,avec (avec pronoms)
-né,avec [qc dont on a parlé]
ySk#,"roir de jeu, mal serrè"
ndàl,roir des rapports sexuels
ndôg#,"iigner, se baigner"
16,iiller
künd#,ilafon
ndèss,balai
yér,balancer sur la tête
Èitè,balayer
t:s6,balle de grain
mbaÿ-tà,barbe
nàng£,"bas, en bas"
dun,bassin; rein
indè,"battre, frapper"
bàsà,beau : être
s4)x,"beau-frère, belle-soeur"
mèm,"beau-père, belle-mère"
ng4y,beaucoup; très
nèdi,bégayer
màndi,belle : être
wär,belle-soeur
bi1bil,bière de mil
ndà,blanc : être
nèàsäér,"blanc, Européen"
màng#,"boeuf, vache"
àÿ,boire
y1w,)isson
äârgè,)isson alcoolisée (fort)
mà;j,nn : être
gène,sse (la)
bäl,UC
tà,uche
bôr,ue
biys,bouillie
leg£f,bouillir
mûd#,boule de mil
mbGy,bourrer; pousser : piétiner
vyal,braises
ng5w,brindille sèche
büd#,"> |briser, casser"
müm,brouillard
mù,brousse
Kké,bruit
d,brûler
ngs,bûche
ddgi,buffle
déi,cacher
]ys,cacher; tendre
n1n,cadavre
èr,"cailloux, pierre, montagne"
£-ng6,calebasse
£-d1i,calebasse - cuillère
nam,"imarade, copin"
£-1fye,iméléon
ndäw,inard
gèm,inari (pour la bière)
bày,incère de la peau
kädx,inne de sucre
tèti,casser
lé,"ce, cet (emphatique)"
kfnù,"ce, le"
büwè,célibataire
bu,cendre
Pû,cent
dàn,"centre, milieu"
ndo,cerémonie d'initiation
ndaj£,cicatrice
dà-raä,ciel
m£,cinq
kèndè,"cithare, harpe"
gujs,civette
ùnjx,clair: être; allumer
àr,"clair, propre: être"
kàn,clitoris
ong#,colère
tiys,coller
1àw,")ller, se"
bàn,mbien
bàn,mmen t ?
t£ids,mpter
ùsi,)ncerner
kès£,»ncombre
65,nfier
ndèe,confier un travail
d3i,conseiller
g61,consoler; bercer; tromper
sû,conte
ndEngs,convoiter
màd#,copain
küns,coq
ng$y,"coquille, écaille, écorce"
käégà,corbeau
kùls,corde
gàji,corne
r5,corps
kàdi,côté de: à
kàdài,"côté, poitrine"
büy,coton
m£ndz,cou; gorge
t0,couché : être
kàèm-si1-)1,coude
ùu,coudre
Bä1,couleurs; dessin; lignes
ijè,couper
t£gs,"uper, hacher"
ùd#,"urber, plier"
ruws,urgette : petite
ng5d#,urse; courir
gdji,urt : être
Kkiys,uteau
miys,uteau de jet
t1iw,"cracher; crache, salive"
5s Î : Ba=65 Î,craindre; peur
£-ngàgi-d1,crapaud
ùr,creuser
n5©,crier
mà,crocodile
ngè,croquer
ndir,cuire
kül,cuire [la sauce longue]
bèing#,cuisse
èd#,"cuit, à point : être"
nd35,cultiver
màdi,cynocéphale
tàl,chacal
)ä4mbàl,chameau
"kÈlè, ndà5",champ
Pôyd : Ba=Boyd,champignon
pa,"anson, chant"
kül,1arbon
mal,1arognard
ndo,asse; dieu de la chasse
bàtü,at
mÈilè,at sauvage
t£ngs,aud : être
3ù,chauffer la base d'un arb
sa,chaussure
ngs,chauve : être
dow,"chauve-souris, esp. de"
ndùy,chavirer
ngat,chef
tàw,chenille (sans poils)
$f-13à1a,chenille poilue
säng#,chercher
s£nds,cheval
bisz-d3,) cheveux
b1 ys,"chèvre, cabri"
àbilày,chicotte
ndéy,chicotte
bûsx,chien
mbétz,choisir
né,chose
