bediondo,français
r5,à côté de
biyà,abeille de terre
tèjà,abeille; miel
bilè,abri (animaux domestiques)
t6,absence de
dan,accompagner
màs+,acide : être
ibà,activer (feu)
ndog#,acheter
t5jx,adorer; honorer
n$b£li,aiguille
1,"aiguiser, affûter"
dèr,ainé de famille
bè,"ainsi, comme ça; seulement"
"mà,s#1l",aisselle
è,"alors, ainsi"
àw : Do=àw,aller
àt#,amer : être
péle,ampoule
kôro,Le
tum,iguille
da,imal
ningé,"ineau, bracelet"
k5ÿ-nè,née : cette
kà Î-nè,"née, passée : le"
mbe,annonce publique
mbüûr,antilope : espèce de
kaäal,antilope (cob de Buffon)
tèbà,antilope (guib harnaché)
nàst,antilope cheval
kàyà,"antilope, bubale"
1lüûm,"antilope, eland de Derby"
ba,appeler
go,après
$-gàjà,arachide
f-ngàti-Pe-gàna,araignée
kagx,arbre
ké-KkägE,arbre : esp. de
dä-k3,arbre : esp. de
jangx,arbre : esp. de
kdbà,arbre : esp. de
matz,arbre : néré
s+ys,arbre de karité
màlè,"arbre, esp. [Vitex doniana]"
d#l,arbre : cailcédrat
koy-kagx,arbre : esp. de
küns,bre : kapokier
$-gàrära : Gor-=gâr1ya,bre : palmier doum
£-mongé,buste : esp. de
gûm,buste : esp. de
ngàa,buste épineux : esp. de
käm,buste; feuille
kündèirü,-c et flèche
ngà-b+rs-nd1,arc-en-ciel
güsù : Do=pâtà,argent
wân)jx,argile noir
nèibè,argile rouge
gos# : Gor-gost,artiste
Èist,"asseoir, se"
àsi,|'assez: être; suffire
d35,attacher
ng£ns,- | attendre
1à,attraper a la volée
nj0,aubergine
s1,augmenter en volume
mâri,"autrefois, auparavant"
bü,autruche
tüû,avaler
k$été,"avant, entre-temps"
kà,avec
sè- : Dbh=sè-,avec (avec pronoms)
mÈènd#,reugle
ySk#,"roir de jeu, mal serrè"
ndàl,roir des rapports sexuels
ndôg#,"iigner, se baigner"
16,iiller
kündx,ilafon
ndèss,balai
yér,balancer sur la tête
itè,balayer
ngdy,balle de grain
mbäy,barbe
düun,bassin; rein
indè,"battre, frapper"
bàsà,beau : être
s4)#,"beau-frère, belle-soeur"
mèm,"beau-père, belle-mère"
bôrè,beaucoup; très
tad#,bégayer
màandi,belle : être
wér : Do=wäd,belle-soeur
b£1bÈ],bière de mil
ndà,blanc : être
nàsär,"blanc, Européen"
màangx,"boeuf, vache"
ày,boire
kàsà,)isson
mà;jà,nn : être
gÈnè,sse (la)
bàl,UC
dè,uclier
tà,uche
bèr,ue
biys,bouillie
159#,bouillir
"mùd#,mür",boule de mil
mboy,bourrer; pousser : piétiner
£-bif-si,"bousier, scarabée sacrée"
yal,braises
ng5ngèrs,brindille sèche
t5 : Dh=t5,"> |briser, casser"
müm,brouillard
mù,brousse
yém,bruiner
"kà, ké : Do=kä",bruit
ng,bûche
dôgi,buffle
55y5,cacher
Èys,cacher; tendre
nxn,cadavre
mbàl,"cailloux, pierre, montagne"
nèt,calciner
£-ngé,calebasse
jènt,calebasse - cuillère
kü,"calebasse, esp. de"
gàr,"imarade, copin"
£-1:ysy,iméléon
ndäb#,inard
bày,incère de la peau
rège,inne de sucre
j)5m,caracal
tètà,casser
dé,"ce, le"
büwè,célibataire
Bû,cent
dàn,"centre, milieu"
pèn,céphalophe à flancs roux
ndo,cerémonie d'initiation
ndä;j#,cicatrice
dà-ra,ciel
m£,cinq
kèndè,"cithare, harpe"
gujs,civette
ûnjx,clair: être; allumer
àÿ,"clair, propre: être"
ng#r,clitoris
;jàl,cob des roseaux
f5ngzrs,coeur
ong#,colère
t£ys,coller
bàñ,mbien
bànñ,mmen t ?
tids,mpter
ndètz,)ncerner
$-kès#,»ncombre
65,nfier
ndèe,confier un travail
g61,consoler; bercer; tromper
f-sû,conte
ndængs,convoiter
màd#,copain
küûns,coq
ng6y,"coquille, écaille, écorce"
kägàa,corbeau
kùüls,corde
gàjà,corne
rs5,corps
kàdi,côté de: à
büy,coton
ménd#,cou; gorge
to,couché : être
s#1,coude
ûûu : Dh=ùr,coudre
b41,couleurs; dessin; lignes
ijè,couper
3jà4g#,couper en morceaux (les os)
t£igs,"uper, hacher"
r+bs,urgette : petite
ngod#,urse; courir
gà;jà,urt : être
kiys,uteau
"gôngzrà,",uteau de jet
kébe-tà-dàm,couvercle du grenier
trbz,"cracher; crache, salive"
kàz,crapaud
ndSr : Do=ùd,creuser
bôlè,crinière
$-bèté,criquet dévastateur
"màrà,màrèim",crocodile
ndaà,cuire
kül,cuire [la sauce longue]
bèng#,cuisse
Èdx,"cuit, à point : être"
ndàr,cultiver
màdi,cynocéphale
tàl,chacal
)4mbàl,chameau
pa,"anson, chant"
kül,1arbon
mal : Do=mal,1arognard
bàtü,at
mÈilè,at sauvage
kif,1atouiller
"tèngs,",aud : être
9bE,chauffer la base d'un arb
sa,chaussure
do,"chauve-souris, esp. de"
ndùy,chavirer
ngat,chef
tàw,chenille (sans poils)
sa,chercher
sinds,cheval
bèisr-dù,) cheveux
kûkèlü-njà,cheville
biys,"chèvre, cabri"
àbilày,chicotte
ndéy,chicotte
b£s#t,chien
mbétz,choisir
né,chose
taà,d'abord
mèe,dans
1è,danser
tri,chirer
"trté,tité",dans
ndägâ,hors
bé,jà
10-t1I,main
dèjà,"demander, poser (question)"
ndo00,démanger
nag#,démener; arracher
ngangz,dents
Èts,dépasser
t5r,déplumer
n)#b5,déranger
gidà,derrière
"rèisà, rûsà",descendre
ùr : Do=ùd,descendre; entrer
tüût#,"détacher, délier"
nùjà,détruire; abîmer
kzirs,dette
)06,deux
n9,devant
tà,devant
sû-kàdr-nà3-6e,devinette
ndèng#,diarrhée : avoir
Lüws,Dieu; Luwa (frère de Sou)
è,re; marqueur de convers
è1,re; parler
k51,"-sputer, palabrer"
nàjx,"-sputer, quereller"
15b#,-stribuer
"dôgà, küt",_X
ngon-j1,)igt
àd#,donner
gàdà,dos
jèkè,doucement
£-ndo,douleurs prenatales
ma;jz,douter
dé£i,droit
kà,droite
ngàa,"dur, difficile : être"
ii,durer longtemps
manñ : Do=man,"eau, de l'eau"
tàl,éclabousser; sautiller
ndu,éclater; vacarme
ng6y,écorce
mama,écorce sec
rûnd#,écraser
ndèm,écureuil : esp. de
55n,écureuil de Gambie
mbél,échanger [qc]
kèdx,éléphant
ùl,ever; nourrir
ba,pêcher; refuser
yèl,\poisonner
ndims,\prunter; prêter
gûg#,\ arrière
sété,\ vain
10,"droit, lieu; temps"
ndèm,"enduire d'huile, oïindre"
ngon,enfant
ùdji,"enfanter, accoucher"
su,enfiler
tf,"enfler, s'enfler, gonfler"
su,enfumer [qc]
bét:-béré-à Î:Gor-légé,engoulevent
Ôr,"enlever, retirer"
ké,enrouler
kùû,enrouler
nàa-t#,ensemble
nàa,ensemble : réciprocité
nduf,entasser
00,"entendre, écouter"
dibz,"enterrer, semer"
gs : Do=qüg,entourer
mbins,"entre, parmi"
bStz,entrejambe
ànd#,entrer
dole,"envelopper, emballer"
ma Î,vie de
Èilè,ivoyer
ndès,ais : être
t1I,">arpiller, écarter"
bag+,aule
k5Sn,"ine, épines"
tigs,"épuiser. finir, achever"
",làbà",escargot
dùl,esp. d'antilope
rzngs,"esquiver, s'esquiver"
mb+f,"essorer, tordre"
b3F : Dh=bor,essuyer
ngà,"et, mais"
nà;jà,"étaler, étendre (au soleil)"
f-tisé,éternuement
$-mêé,étoile
è,être
à,être debout
ndé,étudier; aprendre
si,excrément
birè-k3sà,expert cultivateur
s1,fagot
65,faim
ra,faire
ndàw,ire griller à sec
to,"ire mal, faire souffrir"
ndûj+,irine
kà,itigue
3,itigué : être
ngordngi,iucille
dèné,femme
n£é,"femme, épouse"
gaj#,fendre
ta,"fendre, couper"
r+ys,fendre; déchirer
kay,fendre; diviser; partager
gèndx,fer
ût#,fermer
g£n,fesses
pôr,feu
bänd#,filet
ngon,"fils, fille"
ndèe,filtrer
bàyà,fille initiée
ndôle : Do=ndûle,flétrir:se
pût,fleur; fleurir
ba,fleuve
nàl,flûte
ùr,foie
mône,foin (pour les animaux)
n)jà,fois
1èé,fondre
tég#,)rce
kù,)rêt
0,)rger
kÔd#,)rgeron
ôlè,"rt:être (boisson, magie)"
mbât#,uiller
gàjà,urchu : être
£-tüû,"fourmi, petite noire : esp."
t£ys,fourmi rouge : esp. de
tôy,"fourmi, rouge : esp."
bära,fourmilier
p#l,foyer
sàl,frais : être
