daba,français
tèj :,abeille; miel
bùlà :,abri (animaux domestiques)
dän,accompagner
màs :,acide : être
ìb,activer (feu)
njïgö :,acheter
ndüb :,adorer; honorer
tôl,"aiguiser, affûter"
dè®,ainé de famille
sôl :,aisselle
à,"alors, ainsi"
àÛ,aller
àt,amer : être
màd,ami
kò÷ö :,e
dä,imal
mbër :,annonce publique
nàs :,antilope cheval
kô®,appeler
kƒrƒrƒ :,arachide
käg :,arbre
yïdû,arbre : esp. de
ßìtî :,arbre : esp. de
mät :,arbre : néré
÷ûý :,arbre de karité
jïl,arbre : cailcédrat
kám,buste; feuille
pátà,argent
dùbà,"arrêter, s'arrêter"
ìnjì,"asseoir, se"
às,assez : être; suffire
dîû,attacher
ngóg :,attendre
njòr :,aubergine
ßó-nèë :,aujourd'hui
jáng : Kul=nûfô,autre
ßülü,autruche
ùr,avaler
kétë :,"avant, entre-temps"
ì,avec
sè-,avec (avec pronoms)
-² :,avec [qc dont on a parlé]
mìndö,eugle
ndòg :,"igner, se baigner"
lóö,iller
ndìsä :,balai
ùtà,balayer
mbäý :,barbe
bè©,"bas, en bas"
ùndà :,"battre, frapper"
bàsá :,beau : être
sáj :,"beau-frère, belle-soeur"
ngªy :,beaucoup; très
mànd :,belle : être
wá÷ b,belle-soeur
yïb :,bière de mil
bíl-bìl :,bière de mil
"ndà,Ÿþ :",blanc : être
mùnjú :,"blanc, Européen b"
màñg :,"boeuf, vache"
àÿ,boire b
árgè,isson alcoolisée (fort)
mbþ :,n : être
bàl,uc
tà,uche
bèt,ue
bíyä :,bouillie
lëg :,bouillir
bìnä :,boule de mil
ùßà :,bourrer; pousser : piétiner
ngö :,brindille sèche
tû,"briser, casser"
bùúmbù® :,brouillard
ká,bruit
Å :,brûler
dîg :,buffle
ùyä,cacher; tendre
nïÑ,cadavre
mbà£ :,"cailloux, pierre, montagne"
ngó :,calebasse c
kƒyçy :,méléon
ndäb :,nard
kôsí :,nne de sucre
tèt :,casser
yó :,"ce, cet (emphatique)"
kàb :,célibataire
bü :,cendre
ùgànà,cent
dàn,"centre, milieu"
pèn :,céphalophe à flancs roux
ndò,cerémonie d'initiation
njïjá :,cicatrice
dîrä :,ciel
mƒ,cinq
kùndè :,"cithare, harpe"
à®,"clair, propre : être"
wùr,coeur
höng :,colère
tƒyº :,coller c
ßî÷í :,mbien
mbà,mment?
ndèt :,ncerner
kòs :,ncombre
îj :,conseiller
túdá-yª :,conte
kúná :,coq
ngô :,"coquille, écaille, écorce"
kùlä :,corde
gàj :,corne
dä-rû,corps
bò,"côté, poitrine"
kôb :,cou; gorge
tò,couché : être
kíl-jï :,coude
ù®,coudre
kú÷á :,couleurs; dessin; lignes
ìjà,couper
túgá :,"uper, hacher"
rïbû :,urgette : petite
ngûd :,urse; courir
gîj :,urt : être
kùyä :,uteau
m¡yº :,uteau de jet
ßö•,craindre; peur
kà® :,crapaud
ù÷,creuser
nç :,crier
màr :,crocodile
njïr :,cuire
kú£,cuire [la sauce longue]
ßäng :,cuisse
èd,"cuit, à point : être"
ndîû :,cultiver c
màd :,cynocéphale
jámàl :,chameau c
kèm-ndîû :,champ
ßè :,champignon
pä,"anson, chant"
kúl,arbon
mäl,arognard
mùlà :,at sauvage
tíngä,aud : être
pörö,chaussure
döw,"chauve-souris, esp. de"
màwkùnjè :,chef
tàÛ,chenille (sans poils)
sáä :,chercher
súndá :,cheval
b¡¬-dî :,cheveux
b¬yº :,"chèvre, cabri"
ndéy :,chicotte
bís :,chien d
yª,chose
yè÷ :,chose dégoutant
kém-tä :,d'abord d
kèm,dans d
lò,danser
tïtí :,dans
tégë :,hors
lòtï :,main
njìjò :,"demander, poser (question)"
ndÅç :,démanger
ngäng :,dents
tîÿ,dépasser
tô®,déplumer
jéë :,déranger
gìd :,derrière
÷ìs :,descendre
ùd,descendre; entrer
njút :,"détacher, délier"
túj :,détruire; abîmer
jó÷,deux
nÅ,devant
ndèñg :,diarrhée : avoir
Lúbä :,Dieu; Luwa (frère de Sou)
èl,re; parler
kûl,"sputer, palabrer"
nàj,"sputer, quereller"
dîû :,x
àd,donner
ndùlë,dormir; sommeil
gìd :,dos
ndö :,douleurs prenatales
kîl,droite
ngàñg :,"dur, difficile : être"
túdä,durer longtemps
màñ,"eau, de l'eau"
kô-mà« :,écorce sec
dúd :,écraser
ìjà :,écrire
ndàm :,écureuil : esp. de e
kèd :,éléphant
ßàt,ever; nourrir
