gulay,français
ra,à côté de
tüjü-b},abeille de terre
ké-tèé : KoN=-tàÿ,"abeille, esp. de"
tüjù,abeille; miel
bôle,abri (animaux domestiques)
gùtù,absence de
dän,accompagner
màs+,acide : être
ibà,activer (feu)
ndogo,acheter
d3y,adorer; honorer
ùdù,"aigre, acide : être"
libéri,aiguille
dl,"aiguiser, affûter"
tär,aimer
dèr,ainé de famille
bè,"ainsi, comme ça; seulement"
gir-s$l,aisselle
béà,"alors, ainsi"
àw,aller
àt#,amer : être
màad#,ami
péle,ampoule
kdro,Le
da,imal
ningé,"ineau, bracelet"
bäl,née
kôn1i-1là,née : cette
mbs,annonce publique
mbür,antilope : espèce de
kal,antilope (cob de Buffon)
nàst,antilope cheval
bär,appeler
bar,"appeller, nommer"
go,après
kàbri,arachide
güm-dSgär,araignée
kagx,arbre
y1ids,arbre : esp. de
Bitè,arbre : esp. de
kém-kaägE,arbre : esp. de
kèbà,arbre : esp. de
mat#,arbre : néré
Kkiys,arbre de karité
dil,arbre : cailcédrat
kurs,bre : kapokier
gariya,bre : palmier doum
tà : Mh=jinga,buste : esp. de
mongiyo,buste : esp. de
ngàr,buste épineux : esp. de
käâm,buste; feuille
mbändäng,-c et flèche
k£-münds -Ba,arc-en-ciel
nàr,argent
änj+,argile noir
nibè,argile rouge
büngs : Mh=Bingä,arracher
dèe,arriver
gosx,artiste
ndi,"asseoir, se"
àsi:KbN-àsà,|'assez: être; suffire
d25,attacher
ngôm,- | attendre
là,attraper a la volée
njor,aubergine
$i-1àa,aujourd'hui
méri,"autrefois, auparavant"
bägi,autruche
ùr,avaler
kété,"avant, entre-temps"
sè,avec
sè-,avec (avec pronoms)
-n,avec [qc dont on a parlé]
njè-küm-t5,reugle
y$ké,"roir de jeu, mal serrè"
àndE,roir des rapports sexuels
nd0go,"iigner, se baigner"
16,iiller
kündü,ilafon
ndiss,balai
dèl,balancer sur la tête
ùtè,balayer
tisé,balle de grain
mbaÿ-tà,barbe
nànñg,"bas, en bas"
dün,bassin; rein
ündè,"battre, frapper"
bàsä,beau : être
s4j#,"beau-frère, belle-soeur"
üm,"beau-père, belle-mère"
ngây,beaucoup; très
gagér,bégayer
mändi,belle : être
wâr,belle-soeur
"tà-mbà, dütuü : M=düté","benjamin, benjamine"
y1b+,bière de mil
bil-bil,bière de mil
ndà,blanc : être
nèàsär,"blanc, Européen"
màng,"boeuf, vache"
ày,boire
ärge,)isson alcoolisée (fort)
mà)jà,nn : être
bàl,UC
dèr,uclier
tà,uche
bôr,ue
biy,bouillie
ole,bouillir
mèr,boule de mil
drè,bourrer; pousser : piétiner
bii,"bousier, scarabée sacrée"
yal,braises
ngéng-rsng,brindille sèche
ts,"> |briser, casser"
büm,brouillard
wàlé,brousse
kä,bruit
nj$tà,bruit de désapprobation
ù,brûler
ng,bûche
dègà,buffle
B5y3,cacher
ùys,cacher; tendre
n1n,cadavre
mbàl,"cailloux, pierre, montagne"
ng6,calebasse
jènt,calebasse - cuillère
kü,"calebasse, esp. de"
nding : M=nding,ilme
m,illosité
13-m1y60o,iméléon
ndaäb£,inard
kéd#,inne de sucre
tètà,casser
tüjé,"casser, rompre (fréq.)"
ngàä,"ce, cet (emphatique)"
nè,"ce, le"
süwè,célibataire
bü,cendre
àrü,cent
dàn,"centre, milieu"
ndà,cerémonie d'initiation
ndujé,cicatrice
dà-r3,ciel
lùbo,cigogne marabout
mi,cinq
kündü-jèñg,"cithare, harpe"
ùnju,clair: être; allumer
àr,"clair, propre: être"
kàän-ngir,clitoris
wong,colère
làb#,coller
làb#,")ller, se"
kändäng,mbien
bàÿ,mmen t ?
tüté,mpter
ùsu,)ncerner
kèsét,»ncombre
ndèe,confier un travail
gèr,consoler; bercer; tromper
süû,conte
ndings,convoiter
màd#,copain
küre,coq
ng,"coquille, écaille, écorce"
gèàé-ga,corbeau
kùls,corde
gàjà,corne
ra,corps
kàdi,côté de: à
kàdi,"côté, poitrine"
büûy,coton
k$éb#,cou; gorge
to,couché : être
k{l-jr,coude
ùr,coudre
ndajé,couleurs; dessin; lignes
ùjè,couper
binds,"urber, plier"
ngod#,urse; courir
gàji,urt : être
kùys,uteau
mi yS : KEN=bIKkD,uteau de jet
tIibz,"cracher; crache, salive"
bs Î,craindre; peur
kàra,crapaud
tiyé,crépir
nd8r,creuser
ûw-wiy,cri d'alarme des femmes
no,crier
wül,crinière
k£i-bèté,criquet dévastateur
màrà,crocodile
kdk£1 : Mhb=ngdr,croquer
ndir,cuire
kül,cuire [la sauce longue]
bing,cuisse
id#,"cuit, à point : être"
ndàr,cultiver
Pèt:-màdèr,cynocéphale
tàl,chacal
lùgimà,chameau
kèm-ko,champ
Bèoyè,champignon
pa : KoN=1a,"anson, chant"
kül,1arbon
mal,1arognard
bàtü,at
mülè,at sauvage
gètz,1atouiller
tüngs,aud : être
db#,chauffer la base d'un arb
sa,chaussure
ngà,chauve : être
ngdkèr,chauve-souris de maison
do,"chauve-souris, esp. de"
ndaùy,chavirer
ngät,chef
tàw,chenille (sans poils)
ni{ib£,chenille poilue
säng,chercher
sfnds,cheval
bit-dè,) cheveux
b1 ys,"chèvre, cabri"
ndéy : Mhb=àbilày,chicotte
bist,chien
ngès : Mh=ngdo,chiffon sur la tête
mbér,choisir
yé : Kul=n4mu,chose
taà,d'abord
kèm,dans
1è,danser
t{l,chirer
tütü,dans
nàtà,hors
b4,jà
bàrè,main
baäng,mander l'argent emprunté
dèji,"demander, poser (question)"
gègi,dents
dûm,dépasser
nd$été,"déplacer, se"
tér,déplumer
ndd,déranger
gidi,derrière
disi,descendre
bél,"dessins, couleurs"
tüûtü,"détacher, délier"
kürs,dette
j)06,deux
n0,devant
tà,devant
sû-ta-Pe:Lk-qüstü-tàr,devinette
ndèng,diarrhée : avoir
NübS,Dieu; Luwa (frère de Sou)
dàng,diffèrent; ailleurs
èd,re; parler
k51,"-sputer, palabrer"
nàj#,"-sputer, quereller"
nobo,-stribuer
dèg,_X
ngon-j1,)igt
àdx,donner
bt,dormir; sommeil
gidi,dos
jèkè,doucement
ndo,douleurs prenatales
na)j+,douter
ndiss,"droit, tout"
kù,droite
"mong, Ô","dur, difficile : être"
i,durer longtemps
man,"eau, de l'eau"
tàl,éclabousser; sautiller
ndubu,éclater; vacarme
ng,écorce
mama,écorce sec
tét#,écraser
tèl,écraser (le foudre)
ndàèm,écureuil : esp. de
b5n,écureuil de Gambie
mbél,échanger [qc]
kèd#,éléphant
ùl,ever; nourrir
Ôgz,pêcher; refuser
yèl,\poisonner
ndims,\prunter; prêter
gügüû,\ arrière
pi,\ vain
b4y,"icore, plus"
10,"droit, lieu; temps"
ndûm,"enduire d'huile, oïindre"
ngoï,enfant
dii,"enfanter, accoucher"
sur,enfiler
ti,"enfler, s'enfler, gonfler"
su,enfumer [qc]
b$bs y,engoulevent
9Fr,"enlever, retirer"
njè-bàz,ennemi
bfr,enrouler
bindz,enrouler
nàa-t£,ensemble
nàa,ensemble : réciprocité
ndüûr,entasser
00,"entendre, écouter"
dübu,"enterrer, semer"
gugu,entourer
dàdan,"entre, parmi"
gäl,entrejambe
ùlè,ivoyer
ndèr,ais : être
baäg+,aule
kéylé,ervier
kéné,ilepsie
k5n,"ine, épines"
tings,"épuiser. finir, achever"
kä-1àbàbà,escargot
Pèr,esclave
dùl,esp. d'antilope
mbôre,espace entre [qc]
bôr,essuyer
a,"et, aussi"
nè,"et, mais"
nàjà,"étaler, étendre (au soleil)"
é-tisé,éternuement
nd$b£,étinceler
k9yo,étoile
è,être
ndà,être debout
ndé,étudier; aprendre
yèdz,excrément
bürè-kdsà,expert cultivateur
sôrè,fabriquer en tournant
kir,fagot
65,faim
da,faire
ndàw,ire griller à sec
tür,"ire mal, faire souffrir"
ndù)ju,irine
kdr,itigue
dr,itigué : être
ngrông,iucille
diyé,femme
neé,"femme, épouse"
gaya,fendre
"njàrè, gaya","fendre, couper"
r1bs,fendre; déchirer
kay,fendre; diviser; partager
gind#,fer
ùtu,fermer
mbùr,fesses
pôr,feu
bürs,filet
ngon,"fils, fille"
ndèé,filtrer
ndd-diyé,fille initiée
ndôle,flétrir:se
püûtu,fleur; fleurir
ba : KoN=ba,fleuve
ùlè,"flotter, couler"
wÜûr,foie
mére,foin (pour les animaux)
njà,fois
lèsg,fondre
tégf,)rce
kù,)rêt
ùwè,)rger
kddE : KEN=kDde-kdkù,)rgeron
"èng, àtx","rt:être (boisson, magie)"
ndôlè,uiller
gèàjà,urche d'arbre
gàj+,urchu : être
bém,"fourmi, grande : esp."
tür,"fourmi, petite noire : esp."
tôtè,"fourmi, petite noire : esp."
tiys,fourmi rouge : esp. de
toy,"fourmi, rouge : esp."
ngès,fourreau
p1il,foyer
s31,frais : être
mbs 1,frais; mouillé : être
ngo-ké,"frère, soeur"
kül,froid
kär-nù,front
ùsà,frotter
àn,fructifier
kàn,fruit
b5#,fruit pas mur
ày,"fuir, s'enfuir"
sà,fumée
ngàw,"furoncle, bouton au visage"
k66,future vie; au-delà
bàti-wal,"gale, la"
ngom,garder [troupeau]
gèl,gauche
t00,mir
bir-gôgi,ncives
täkz : KoN=täg0,nette
mèr-kèji,nou
kèrlôw,rafe
yimé,mbo
ûmes,ndoler : se
gèl,"gourde, esp. de"
gl,gourdin
mbéré,goût
na,goûter
tà-küul,grâce à
ko,"grain, germes"
èmè,graisseux : être
bo,grand : être
tôgà,grandir
kà,grandparent
nd90,gratter
k5CxE,grêle
dàm,grenier
béà,grenouille : esp. de
yal-jt,griffes
ndàng,gronder
bôy,gros : être
kdr-wäsé,guêpe jaune : esp. de
gümbs,guêpe maçonne
àji,guérir; sauver
tém,"gui, plante parasite"
küngs,iche
kùy,imeçon
dàb,"ingar (pour l'ombre, etc.)"
mûnjù,iricot
d9$#,"ut, en haut"
mù,"herbe, paille; brousse"
ndür,hérisson
ndùbs,héritage
ngén)#,hernie
kSw,héron garde-boeufs
kdy,hibou
tàg£-1àa,- Langues Sara
àbà,hippopotame
kdsi,houe
ùbu,huile
s6-s6,huit
kùr kûmi,hyène
nè,ici
mbé,idiot
ngül,igname
ngàrwày,iguane
ù-,"il, elle"
dé,"ils, elles"
ndä)j£,imiter
suls,inciter au mal
nd5,iquiété : être
Kkùr,secte
tàj#,isulter
til,itestins
bar,iviter
ni,ilousie entre femmes;
im,iloux de : être
ndà-lé,mais
i6,"jarre, canari"
m-,je
kil,joue
àgà,jouer
nds,"jour, journée"
ndüngè,"jumeaux, jumelles"
sär,jusque
né1,"la grippe, la rhume"
n0,là-bas
ng,là-bas (loin)
)yè,laisser
mbà,lait
ùûr,lancer un projectile sur
i1s,"lancer, jeter"
ndù,langue
tà,"langue, langage"
là,large : être
l1à,large : être
tégo,laver
-é,"le, la, lui (obj. de verbe)"
il,cher
baän)j,‘pre
k£-dé,quel
-d£,"ss, leur"
ndaf -tà,vre
yaré,ane : esp. de
bind#,bellule
dègim,lièvre
tèbà,lion
tiré,"lit, lit de boit"
"sér,",loin
kèlèl,"lombric, ver de terre"
nga,long : être
pitz,louer; féliciter
dÿ,lourd : être
ngà-ndél-wsy,luciole
nd0y,luire; briller
na,lune
mèlè,lutte
d5,"lutter, se battre; guerre"
sng,maigre : être
)j1,main
ta,maintenant
dà,maïs
ké y,maison
moy,maladie
mètà,iladie; infirmité
dingèm,ile
kül,inche
ùsè,inger
muf,inger (qc farineux)
ù,inger (qc mou)
ngàli,inioc
geng,mante religieuse
sûku,marché
nj1ys,"marcher, se promener"
k£-ngäl-bènti : KoN=ké11,margouillat
ngà,mari
bày,"marmite, petit"
wà,marqueur d'interrogation
k5k£,marqueur de débarrassement
à,marqueur du futur
g#,marqueur du pluriel : nom
-1,marqueur du pluriel : verbe
té,marqueur locatif
ndédgé,matin. de bon matin
man,maudire
màjilé,mauvais : être
-m,me (obj. de verbe)
kùgè,médicament
wàsE,melon
bégém-tà,menton
ké,mère
mb5j#,mesurer
nàma,ttre les os ensemble
übu-tüjù,el
s6-t£,"eux, être mieux"
ko,1 (mot général)
tey,1 pénicillaire
jèr,1 sauvage
wès,"1, esp. de."
àruü-dÔgà,lle
kèülülu,mille-pattes
mbètà,"mince, svelte : être"
ùbs,modeler
ndàndan : Mh=s$1l,mollet
-mM,"mon, ma (oblique)"
àl,monter
dii-dit,- Langues Sara
djE,"montrer, expliquer"
d9,mordre
kdy,mort
yo,mort; sorcerie
bir,mortier
kéng,mouche
kéng-mbà,mouche tsé-tsé
nom,mouillé : être
0y,mourir
pülulü,mousse
yil,moustique
bàt#,mouton
Kkèr,mûr : être
gèté,n'exister pas
àlè,iger
ràkà,itte : sorte de
tuws,itte : sorte de
ji-sé):-mIi:KbN-dàkabü,uf (9)
kér-ùm,Z
na)j+,er
ndùl,noir :être
