kaba,français
rû,à côté de
b¡y¼ :,abeille de terre
tèjì,abeille; miel
bùlà,abri (animaux domestiques)
tú® :,absence de
dän :,accompagner
màs¸,acide : être
ndökö :,acheter
îl :,"aiguiser, affûter"
dÆ®,ainé de famille
mîtÕ-sôl :,aisselle
à,"alors, ainsi"
àÛ : Kul=àßë :,aller
àt¸ :,amer : être
pólë :,ampoule a
kòrörö,e
dä : Kul=jä :,imal
‡-nïngá :,"neau, bracelet"
ßäl : Kul=ßälä :,née
wÉl-nèÑ,née : cette
kál-nè :,"née, passée : le"
mbær,annonce publique
nàs¸,antilope cheval
ßär :,appeler
gö :,après
wúlübü : Kul=wúlï,arachide
‡-gämtàgär,araignée
käk¸,arbre
yïrä,arbre : esp. de
ßìtày,arbre : esp. de
mät¸,arbre : néré
‡-÷ûý,arbre de karité
mbûkô : Kul=ßölö,arbre : cailcédrat
kürä :,bre : kapokier
ngà® :,buste épineux : esp. de
kám : Kul=hámvà :,buste; feuille
kóndörö,c et flèche
nàrè :,argent
ánjï,argile noir
tèë :,arriver
gös¸ :,artiste
ìsì :,"asseoir, se"
àsÕ : Kul=àsà :,assez : être; suffire
dîû :,attacher
ngÉb¸ :,attendre
dùndáy,aubergine
ßök‡-nè : Kul=÷yáarà,aujourd'hui
dîngîr-é :,"autrefois, auparavant a"
ßü :,autruche
ùrù :,a
kété,b
kÕ :,avec
sÆ-,avec (avec pronoms)
-né :,avec [qc dont on a parlé]
njè-kùm-tû :,eugle
njè-kùm-tû,eugle
ndà£ :,oir des rapports sexuels
ndòkö :,"igner, se baigner"
ló :,iller
kúndü,lafon
ngìsä :,balai
ùtà :,balayer
mbäý :,barbe
dün :,bassin; rein
ùndà : Kul=ìfï :,"battre, frapper"
kúrä : Kul=nàpà,beau : être
sáj¸,"beau-frère, belle-soeur"
ùm :,"beau-père, belle-mère"
ngªy :,beaucoup; très
tÆndÕ :,bégayer
màndÕ :,belle : être
wár,belle-soeur
bíl-bìl :,bière de mil
ndà,blanc : être
ndä©-ndà :,"blanc, Européen b"
màñg,"boeuf, vache"
àÿ :,boire b
kötö :,isson
árgè :,isson alcoolisée (fort)
màjì :,n : être
bàl :,uc
tà : Kul=tà :,uche
bÆr : Kul=bî÷û :,Français
bíyä,bouillie
lëk‡ :,bouillir
mùrü,boule de mil
mbüsü :,bourrer; pousser : piétiner
yël,braises
ngæw,brindille sèche
tû :,"briser, casser"
mù»,brouillard
m“-ø :,brousse
‡-kïí,bruit
Å,brûler
dîkù,buffle
ìyä :,cacher; tendre
nïÑ :,cadavre
Ær :,"cailloux, pierre, montagne"
‡-ngó : Kul=hárü c,calebasse c
kärämbë,c
näm : Kul=tà-hàßë,"marade, copin"
‡-lïyä-hôy :,méléon
‡-ndäb‡ :,nard
‡-sƒyº,nne de sucre
tètÕ,casser
nèÑ : Kul=rà,"ce, le"
ngá-bùwà,célibataire
bü,cendre
dî-dîkÕ :,cent
dàn : Kul=dànà :,"centre, milieu"
bÆ£,cerémonie d'initiation
ndäjí,cicatrice
dà-rä :,ciel
mƒ : Kul=mìí :,cinq
kîndè,"cithare, harpe"
güjä c,civette
à® :,"clair, propre : être"
ngïr :,clitoris
üngü,colère
tƒyº,coller c
kánd‡ :,mbien
tökú-bàÑ :,mment?
túrä,mpter
kùsú,ncombre
tûj¸,conseiller
gôl :,consoler; bercer; tromper
sú :,conte
njïngä :,convoiter
njè-mà® :,copain
kørº,coq
ngô :,"coquille, écaille, écorce"
‡-g¼ª,corbeau
kùlä,corde
gàjì,corne
rû : Kul=yû :,corps
kàr :,côté de : à
bà-kàr : Kul=häjö,"côté, poitrine"
bƒ :,coton
gôs¸ c,cou; gorge
tò :,couché : être
kÕ-kíl-jï,coude
ùrü :,coudre
ùjà :,couper
túkä :,"uper, hacher"
ngûr,urse; courir
gîjÕ,urt : être
kìyä,uteau
m¡yº :,uteau de jet
ßæ• :,craindre; peur
‡-ngìnºy,crapaud
ùrù :,creuser
kï,crier
màr,crocodile
njïrï,cuire
kúl,cuire [la sauce longue]
bìñg :,cuisse
Æ® :,"cuit, à point : être"
ndîû,cultiver c
bàngÕràng :,cynocéphale
jámbàl :,chameau c
"tà-ndîû,ndîû : Kul=màgì",champ
ßè :,champignon
pä :,"anson, chant"
kúl :,arbon
mäl,arognard
bàtú,at
mùlà,at sauvage
túngä :,Français
sä :,chaussure
döw :,"chauve-souris, esp. de"
jï,chavirer
mbáy : Kul=kông™,chef
tàÛ,chenille (sans poils)
sáñg,chercher
súndä : Kul=súndä,cheval
b¡¬-dî :,cheveux
b¬yº : Kul=vï…ä,"chèvre, cabri"
bísï,chien d
mbÉr¸,choisir
ßá :,d'abord d
mŸ : Kul=hàm :,dans d
lÆ,danser
tï© : Kul=ndïlï :,chirer
kÆt‡ :,dans
räká,hors
bàrá,main
ndùjù : Kul=jí÷yö,"demander, poser (question)"
ndÅç,démanger
ngäng :,dents
ùtä :,dépasser
ngÉs¸ :,"déplacer, se"
tûr,déplumer
jûkü :,déranger
gìr :,derrière
÷ìsì,descendre
ùrù :,descendre; entrer
‡-ndäjí,"dessins, couleurs"
tútü,"détacher, délier"
tújü,détruire; abîmer
ßäng,dette
jöó : Kul=jëé :,deux
nÅ,devant
tà :,devant
Lúbä :,Dieu; Luwa (frère de Sou)
dáng,diffèrent; ailleurs
tökú :,re; marqueur de convers
pà : Kul=ndälë :,re; parler
kûl :,"sputer, palabrer"
nàjï :,"sputer, quereller"
dîkÕ,x
ngön-jï :,igt
à® : Kul=ìtö :,donner
ßï :,dormir; sommeil
gìr,dos
rékéké :,doucement
ndö :,douleurs prenatales
ngìsæ,"droit, tout"
kîl,droite
ngÆñg :,"dur, difficile : être"
màñ : Kul=mànï :,"eau, de l'eau"
ndübü :,éclater; vacarme
ngôy,écorce sec
gúrü :,écraser
tüjä e,écrire
ndàm,écureuil : esp. de e
ßûn :,écureuil de Gambie
mbÉl,échanger [qc] e
kÆ®,éléphant
îkü :,pêcher; refuser
gùkú :,arrière
pƒ,vain
ßÉy,"core, plus"
lò :,"droit, lieu; temps"
ngön,enfant
ùjù :,"enfanter, accoucher"
tí,"enfler, s'enfler, gonfler"
tü,enfumer [qc]
‡-lækÉ-bélë,engoulevent
îrü,"enlever, retirer"
njè-kÆm-b¼º :,ennemi
kÉ :,enrouler
n¼º-t‡,ensemble
n¼º,ensemble : réciprocité
òö :,"entendre, écouter e"
dùbü,"enterrer, semer"
gükü :,entourer
hör :,"entre, parmi é"
mbä :,entrejambe
ànd¸ : Kul=häyé,entrer
ùlà :,voyer
ndè® :,ais : être
bäk¸ : Kul=bägü,aule
kün : Kul=hönö :,Français
tùngä :,"épuiser. finir, achever"
kîjî :,escargot
ßÆ® :,esclave
dùl,esp. d'antilope
türü :,"essorer, tordre"
bî® :,essuyer
ngà : Kul=vï :,"et, mais"
nàjì,"étaler, étendre (au soleil)"
‡-ndètérèndÏ,étoile
tö,être
àr,être debout
ndó :,étudier; aprendre f
s¡ :,excrément f
bÕrà-kîsÕ :,expert cultivateur f
tà-kïr : Kul=këy,fagot
ßö :,faim
÷ä : Kul=tá¯ :,faire
tö,"ire mal, faire souffrir"
ndùjü :,rine
rû-kùtä :,tigue
îr :,tigué : être
dèné,femme
dèné :,"femme, épouse"
rïbä :,fendre; déchirer
ùtü :,Langues Sara
kùtù,fesses
pùrù : Kul=fàrù :,feu
bùrà,filet
ngön :,"fils, fille"
ndèë :,filtrer
màk¸,fille initiée
pútü f,fleur; fleurir
bä : Kul=vä :,fleuve f
làl,flûte
gîl,fois f
yïl :,fondre
tôk¸,rce
kù :,rêt
kîrü :,rgeron
m¡¬ :,"rt : être (boisson, magie)"
b¼ :,urchu : être
túr :,"fourmi, petite noire : esp."
tƒyº,fourmi rouge : esp. de
njàrè,fourmilier
pïl,foyer
wù£ :,Langues Sara
ngö-kÇ,"frère, soeur"
kül :,froid
nÅ,front
ùsù,frotter
ànd¸ :,fructifier
kànd¸,fruit
¼ÿ :,"fuir, s'enfuir"
sà :,fumée
bùtäng¸ :,galago : esp. de
ngæm :,garder [troupeau]
gÆl :,gauche
tçwº,mir
täk¸ :,nette
yƒmº :,mbo
gà£ :,"gourde, esp. de"
gùrù :,gourdin
nº :,goûter
mbä-tàr :,grâce à
kö :,"grain, germes"
èmè,graisseux : être
"ndæw, bò : Kul=kókò",Langues Sara
tîkÕ,grandir
kà : Kul=hàhä :,grandparent
Õngæ,gratter
kûjï,grêle
dàm :,grenier
ndàng,gronder h
bò :,gros : être
gùmä,guêpe maçonne
àjì :,guérir; sauver
tínä :,che
kìÿ :,meçon
pál,"ngar (pour l'ombre, etc.)"
mùnjù : Kul=mònjò,ricot
tà©,"ut, en haut"
tïrö : Kul=tíyö,herbe mauvaise : esp. de
m“ : Kul=ùmù :,"herbe, paille; brousse"
ndúrü :,hérisson
‡-kæw :,héron garde-boeufs
kîÿ,hibou
tàk‡-nè : Kul=njô,Langues Sara
hàbÕ,hippopotame
kîsÕ,houe
ùbü,huile
jï-jöó : Kul=sàlënjä,huit
‡-rígÕm :,hyène
nèÑ :,ici
mbÉ,idiot
‡-ngúl :,igname
ngàrò,iguane
µ- : Kul=nì,"il, elle"
d-,"ils, elles i"
ndájï :,imiter j
kùrü,secte
tájï :,sulter
jÆ,testins
n¡ :,lousie entre femmes;
jó,"jarre, canari"
«- : Kul=m- :,je
rû-nè£,"joie, félicité"
ßôl :,joue
ndäm :,jouer
ndû :,"jour, journée"
ndùngà :,"jumeaux, jumelles"
ndÉr‡ng :,jusque
»-mbîkÕ,"la grippe, la rhume"
yó-bÆñ :,là-bas
nøñ,là-bas (loin)
¡y¼ : Kul=ì…à :,laisser
ùr,lancer un projectile sur
ìlä,"lancer, jeter l"
ndÅ :,langue l
tàr :,"langue, langage"
tát¸ :,large : être
tát¸ :,large : être
tókö : Kul=tôî,laver
-é l,"le, la, lui (obj. de verbe)"
töÑ :,cher
bänjï :,pre
k‡-÷á,quel
-dé,"s, leur"
ü,lièvre
‡-nä»,lion
tïrä :,"lit, lit de boit"
æw :,loin
ngäl : Kul=àwù :,long : être
wál,Langues Sara
îÿ,lourd : être
nðy : Kul=näfŠ :,lune
÷û :,"lutter, se battre; guerre"
Æng¸,maigre : être
jï : Kul=jïnï :,main
ngàä :,maintenant
‡-ndá-kìrí :,maïs
kÉy : Kul=háØ :,maison
rû-tö,maladie
mÆtÕ,ladie; infirmité
jìngàw,le
ùsà : Kul=ùsà :,nger
Å : Kul=î…î,nger (qc mou)
ngàlì : Kul=ngàlè,nioc
lò-làb¸-né,marché
njä :,"marcher, se promener"
‡-bàylà : Kul=kílï,margouillat
ngàw,mari
bày,"marmite, petit"
wà,marqueur d'interrogation
ràng :,marqueur de débarrassement
à,marqueur du futur
jë : Kul=gë :,marqueur du pluriel : nom
t‡,marqueur locatif
kÕ-sƒ : Kul=jínjô,matin. de bon matin
mànjàÑg m,mauvais : être
-« m,me (obj. de verbe)
wàs¸,melon
kárä-bàä :,même
gÉl-tà :,menton
kÇ : Kul=kóò :,mère m
ùbü-tèjì :,el
sót‡,"eux, être mieux"
kö : Kul=tŠ,l (mot général)
tþy,l pénicillaire
wàä,"l, esp. de."
dùrù,lle
‡-kùlúlü,mille-pattes
ùßä :,modeler
mä :,moi (forme indépendant)
-»,"mon, ma (oblique)"
à£ : Kul=àlö :,monter
tílö,Langues Sara
îjù :,"montrer, expliquer"
tÇ :,mordre
kòy :,mort
yò,mort; sorcerie
bìrï :,mortier
kÉm :,mouche
òy :,mourir
yíl :,moustique
bàt¸ : Kul=bàtä,mouton
sàng :,mûr : être
gòtó :,n'exister pas
àlè :,ger
gàkÕrà,tte : sorte de
ràkÕ :,tte : sorte de
jï-kárä : Kul=dàhäbü,uf (9)
ùm :,z
mºy,er
ndùl : Kul=ìt,noir : être
górò,noix kola
rï :,nom
kûr,nombre
bákºy :,"nombreux, être"
küm :,nombril
né :,Langues Sara
j- :,nous (nom.)
-jé :,nous (obj. de verbe)
-jé : Kul=j¨™,"nous (oblique); notre, nos"
sìkì : Kul=÷yä :,"nouveau, neuf"
ìl :,"nuageux, noir : être"
ndùl :,"nuit, sombre : être"
gö :,nuque o
kÆm :,oeil
kàw : Kul=hàßè :,oeufs
Æ£ : Kul=kólë :,o
njíl,ombre; esprit
nän : Kul=nönö :,oncle maternel
dîkÆ-rë-kárä,ze
mbï : Kul=mvï :,eille
sïngä : Kul=…ûngû,phelin
÷á,eille
ták¸ :,ouvert
tèë : Kul=të :,ouvrir
háy :,pagaie
læl,pagayer
mbæ :,pain
kàrè :,"panier, sorte de"
njälä :,pantalons
kàkÕ,panthère
mbëtë,papier; livre
ømº,papillon
mbä-tà-lò,parce que
tökú :,pareil : être
nùjü : Kul=häfä,"parents, famille"
dàbÕ :,paresse
tàr,parole
kºy,partager
àÑg,"pas, ne ... pas"
bängàw :,patate douce
ndòö,uvreté
kùkä :,yer
ngïrä :,au
ndä©,"au, cuir"
mbàw,cheur
Æñ,pénétrer dans l'eau
kèrè :,perdrix
bî : Kul=vìy,père
mÆr,perles
dÆÛ : Kul=dèßë :,personne
