kaba_na,français
bèÿ :,abeille de terre
tàý,"abeille, esp. de"
tàgì :,abeille; miel
bùlà :,abri (animaux domestiques)
dänä,accompagner
kálä :,acide : être
ùbö,acheter
…íbìrì :,aiguille
îlë,"aiguiser, affûter"
nàÛ,aimer
ní-kòö :,ainé de famille
mîtî-käm,aisselle
àßë,aller
kátä,amer : être
jä,imal
ßälä,née
mbë :,annonce publique
mbíì :,antilope : espèce de
kälä :,antilope (cob de Buffon)
tóßö,antilope (guib harnaché)
nàsë :,antilope cheval
kà,"antilope, bubale"
ngônè,"antilope, eland de Derby"
njàm,appeler
wólï-gùrú,arachide
kí-bàsú,araignée
kägä :,arbre
ßùtà :,arbre : esp. de
kòßò :,arbre : esp. de
mätö :,arbre : néré
kï…ö :,arbre de karité
ßólö,arbre : cailcédrat
kámbà,buste; feuille
ßùlè :,c et flèche
kômb,arc-en-ciel
málè,argent
kéngè :,argile noir
kíyà :,argile rouge
káà :,arriver
kîdë,artiste
ìnjï,"asseoir, se"
àsà,assez : être; suffire
kùjè,asticot
ìjä,attacher
àkò,attendre
kákä,attraper a la volée
njòrò :,aubergine
àgö,augmenter en volume
yàä-ré,aujourd'hui
gàÛ,autruche
òlì,avaler
gétè :,b
gë-nè,avec
yôkû :,"oir de jeu, mal serrè"
njòbö,"igner, se baigner"
náÛ,iller
kúndú¯ :,lafon
jàkö,balai
dúü,balayer
tìsá :,balle de grain
mbïyá,barbe
ngá :,"bas, en bas"
kùmá,bassin; rein
sáyò :,"beau-frère, belle-soeur"
màm,"beau-père, belle-mère"
däy :,beaucoup; très
núgü,bégayer
kùyä,belle : être
bílí-bìlì,bière de mil
njàhà :,blanc : être
nàsárä,"blanc, Européen b"
sä :,"boeuf, vache"
™Š,boire b
kòrï :,n : être
gùy :,sse (la)
bàlà,uc
kútà,uclier
tà,uche
bîté,ue
bíyä :,bouillie
ròkù :,boule de mil
ùßà :,bourrer; pousser : piétiner
ngäw :,brindille sèche
tûkû,"briser, casser"
gú¯séè :,brouillard
gûbë :,brousse
î…î :,brûler
dîgî :,buffle
ìyä,cacher; tendre
nünú,cadavre
kïhé,calebasse c
jènï :,c
gúù,"calebasse, esp. de"
ßàkúrà,"marade, copin"
kí-…ügäßälä,méléon
ndäbá,nard
ßüyä,nari (pour la bière)
käkö :,nne de sucre
jëmë,caracal
tàtè :,casser
ndálë :,causer à nuit
mîdôî :,célibataire
ßükü :,cendre
kóò-mùtá-bï-dîgî,cent
dànà,"centre, milieu"
nî-yä,ciel
…òbò,cigogne marabout
mìí,cinq
jàmbá :,civette
òjï,clair : être; allumer c
ndìsï c,"clair, propre : être"
süú,clitoris
yàlö,cob des roseaux
bólì :,coeur
yöngö :,colère
tí…à :,coller c
nàßä :,"ller, se"
ndökú,mbien
tôjî :,mpter
kòkï :,ncombre
îyû :,conseiller
jë :,conte
kúyà :,coq
káhä :,corbeau
kùlä :,corde
gàjà :,corne
yû,corps
kàjò :,côté de : à
…àlw¨™ :,coton
míndì :,cou; gorge
ndäy,couché : être
ùÿ,coudre
jàhà,couper
ùgà,"uper, hacher"
ründü :,urt : être
kùyä :,uteau
bîkî,uteau de jet
tïß,"cracher; crache, salive"
ßëlé,craindre; peur
kàä :,crapaud
òrì,creuser
ús,cri d'alarme des femmes
tíï :,crier
bílì :,crinière
kí-ßàlè :,crocodile
ndèrì :,cuire
bòlì,cuisse
kéjï,"cuit, à point : être"
njàkä :,cultiver c
màdà,cynocéphale
tà£-bòó :,chacal
jámàlà c,chameau c
mböw :,champignon
lä,"anson, chant"
kúlù,arbon
ndàÛ :,at
mùlà :,at sauvage
kátï :,atouiller
îßû :,chauffer la base d'un arb
säkä,chaussure
dòngì,"chauve-souris, esp. de"
kông™,chef
sélë :,chercher
kúndä,cheval
ngîû,cheveux
àlè-säkä,cheville
bísì :,chien d
héë :,choisir
kàm,dans d
njíkï :,danser
tähä,chirer
gàsï :,hors
yû-bìï :,main
jìrè,"demander, poser (question)"
njù…ü :,démanger
ngängä,dents
sàÛ,dépasser
yáÿ,"déplacer, se"
gû :,derrière
rèjì :,descendre
tótì :,"détacher, délier"
tújù :,détruire; abîmer
kürä :,dette
jöó,deux
njômë,diarrhée : avoir
núßä,Dieu; Luwa (frère de Sou)
kàkàlà :,diffèrent; ailleurs
njùßà,re; parler
kûlë,"sputer, palabrer"
nüßö :,stribuer
dîgî :,x
ì…ä,donner
