laka,français
£-mbawfya,à l'envers
bi y,abeille de terre
£-Cèé : Mh=ké-tèé,"abeille, esp. de"
tèji,abeille; miel
bùl à,abri (animaux domestiques)
kéy-1ù,abri dans un champ
téro,absence de
dan,accompagner
màs#,acide : être
pèr : Mh=ibà,activer (feu)
ndogo,acheter
"polo,",adorer; honorer
ùru,"aigre, acide : être"
11b1,aiguille
31,"aiguiser, affûter"
njigi,aimer
dèr,ainé de famille
-modi-s$],aisselle
"däà, némà : Mhb=àne","alors, ainsi"
àw,aller
àd#,amer : être
njè-küra,ami
p610,ampoule
kôroro,Le
tum,iguille
£-ningä,"ineau, bracelet"
bal,née
w5 {-nè,née : cette
kà Î-nè,"née, passée : le"
mbs r+,annonce publique
mbür,antilope : espèce de
kal,antilope (cob de Buffon)
nàs#,antilope cheval
$-1üûlüm,"antilope, eland de Derby"
Bär,appeler
Bär,"appeller, nommer"
go : Mh=go,après
übü,arachide
$-gàfmàga : Mh=sûu,araignée
kagz,arbre
£$-vyira,arbre : esp. de
Pidà : M=bità,arbre : esp. de
kém,arbre : esp. de
kèbÈ : Mh=kôvw,arbre : esp. de
mad#,arbre : néré
£-d5 ÿ,arbre de karité
màak5r,"arbre, esp. [Vitex doniana]"
mbàg#,arbre : cailcédrat
kura,bre : kapokier
$i-gariya,bre : palmier doum
gém,buste : esp. de
ngàr,buste épineux : esp. de
käm,buste; feuille
kéndoré,-c et flèche
ngàw-büra-nj1,arc-en-ciel
làr,argent
én)j1,argile noir
1ibà,argile rouge
-qusüu,artiste
isi,"asseoir, se"
àsi,|'assez: être; suffire
kôrè,asticot
t5,attacher
ngéb5s,- | attendre
1äm,attraper a la volée
dündäy,aubergine
66g£-nè : Mh=66-1àa,aujourd'hui
däng£ : Mh=däng,autre
135w,"autrefois, auparavant"
Bü,autruche
kédé,"avant, entre-temps"
gà,avec
sè-,avec (avec pronoms)
-né,avec [qc dont on a parlé]
njè-kèm-t5,reugle
y$qge,"roir de jeu, mal serrè"
kèrs,roir des rapports sexuels
ndogo,"iigner, se baigner"
16,iiller
kündu,ilafon
£f-ngisa,balai
yér,balancer sur la tête
ùndà,balayer
tisé,balle de grain
mbäy,barbe
nàäng£,"bas, en bas"
düun,bassin; rein
ùndà,"battre, frapper"
mày-ngàw,beau : être
müm,"beau-père, belle-mère"
ya,beaucoup; très
màandi,belle : être
ngo-wâr,belle-soeur
kodo : Mh=y1b#,bière de mil
kodo,bière de mil
ndà,blanc : être
l4w-ndà,"blanc, Européen"
màang# : M=màng,"boeuf, vache"
ày,boire
ärgè,)isson alcoolisée (fort)
mày,nn : être
