mango,français
mbô :,à côté de
mŸÏ :,à l'envers
b¡yÐ,abeille de terre
tòjÕ,abeille; miel
bòlè,abri (animaux domestiques)
kÉy-lò :,abri dans un champ
gòtÕ,absence de
dän :,accompagner
màs¸,acide : être
ìbÕ :,activer (feu)
ndög¸,acheter
líbrì,aiguille
îl :,"aiguiser, affûter"
dÆ® â,ainé de famille
bè,"ainsi, comme ça; seulement"
màsôl a,aisselle
"hál, É :","alors, ainsi"
îÛ :,aller
àt¸ :,amer : être
màd¸,ami
pólë,ampoule a
kòrö :,e
dä :,imal
‡-níngæ,"neau, bracelet"
ßäl :,née
kö•-nè :,née : cette
kä•-nè,"née, passée : le"
mbþ,annonce publique
mbú®,antilope : espèce de
käl :,antilope (cob de Buffon)
tòbÕ,antilope (guib harnaché)
nàs¸,antilope cheval
ßä :,appeler
"sîb¸-dî, ßä :","appeller, nommer"
gæt¸,appuyer
gö :,après
kàbï :,arachide
gámà-gämä,araignée
käg¸,arbre
yïdæ :,arbre : esp. de
ngó,arbre : esp. de
jäng :,arbre : esp. de a
kòbÕ :,arbre : esp. de
mät¸,arbre : néré
sçyç,arbre de karité
dïl,arbre : cailcédrat
käg¸-kÆm-kÅ :,arbre : esp. de
künð,bre : kapokier
"tàn,gárïyä",bre : palmier doum
k‡-nª-jë :,buste : esp. de
‡-möng¸,buste : esp. de
ng¼º,buste épineux : esp. de
kám :,buste; feuille
mändäng :,c et flèche
là :,argent
ánj,argile noir
ßüngæ :,arracher
tŸþ :,arriver
gös¸,artiste
ìsÕ :,Langues Sara
àsÕ :,assez : être; suffire
kòdè,asticot
dîû :,attacher
ngínæ,attendre
njò,aubergine
ßó-nè :,aujourd'hui
"löw, ndûk‡","autrefois, auparavant a"
ßü :,a
ù,a
kété,b
kÕ :,b
sÆ-,avec (avec pronoms)
-né :,avec [qc dont on a parlé]
njè-kÆm-tû,eugle
ndà£,oir des rapports sexuels
ndòg¸,"igner, se baigner"
ló :,iller
kúndü :,Français
ndìsæ,balai
yÉ®,balancer sur la tête
ìtÆ :,balayer
mbáy-tà,barbe
bÆÉ :,"bas, en bas"
dün :,bassin; rein
ìndÆ,"battre, frapper"
bàsá :,beau : être
sáj¸,"beau-frère, belle-soeur"
mÆm :,"beau-père, belle-mère"
yº :,beaucoup; très
màndÕ,belle : être
wá®,belle-soeur
÷út¸ :,"benjamin, benjamine"
yïb¸,bière de mil
ndà :,blanc : être
nàsá±,"blanc, Européen b"
màñg :,"boeuf, vache"
¼ÿ :,boire b
árgë,isson alcoolisée (fort)
màjÕ,n : être
gìnÐ,sse (la)
bàl :,uc
tà :,uche
yíngæ,Français
bƒyð,bouillie
òlë :,bouillir
mù® :,boule de mil
ùbÆ :,bourrer; pousser : piétiner
