mbay,français
ro,à côté de
b] yà,abeille de terre
tèji,abeille; miel
gét£,absence de
dan,accompagner
nd#go,acheter
ndüb,adorer; honorer
idè,"aigre, acide : être"
1fbèr,aiguille
31,"aiguiser, affûter"
tàâr:Nar-tär,aimer
màsé1,aisselle
àÿ,aller
àt#,amer : être
hf1e,ampoule
tüm,iguille
daa,imal
ningäà,"ineau, bracelet"
Ba1,née
"kôn1i-nè8,kôn1i-nèe",née : cette
kàlèe,"née, passée : le"
mbür,antilope : espèce de
kal,antilope (cob de Buffon)
tôw,antilope (guib harnaché)
kày,"antilope, bubale"
dûdz,"antilope, eland de Derby"
k$r,appeler
kün,"appeller, nommer"
get#,appuyer
Kkäg+,arbre
yida,arbre : esp. de
jan)jz,arbre : esp. de
KI ya,arbre de karité
bèûto-tàw,arbre : esp. de
k£ra,bre : kapokier
gäây,bre : palmier doum
k£-mong,buste : esp. de
güm,buste : esp. de
ngàr,buste épineux : esp. de
käm,buste; feuille
kèra,-c et flèche
k£-dos£-bzra,arc-en-ciel
hänjé,argile noir
nd+bà,argile rouge
dibà,"arrêter, s'arrêter"
gos#,artiste
ndi,"asseoir, se"
às,|'assez: être; suffire
kidè,asticot
d35,attacher
ng60,- | attendre
gäw,attraper a la volée
njôr,aubergine
àg#,augmenter en volume
méri,"autrefois, auparavant"
sè-,avec (avec pronoms)
-à,{=
ngè-küm-t535,reugle
ySk#,"roir de jeu, mal serrè"
sÔr,roir des rapports sexuels
ndôg#,"iigner, se baigner"
160,iiller
ndèisa,balai
yär,balancer sur la tête
tà,balayer
tèsé,balle de grain
mba ÿ,barbe
bèf,"bas, en bas"
dun,bassin; rein
ndà,"battre, frapper"
sàj£,"beau-frère, belle-soeur"
ng4y,beaucoup; très
bi1-bil,bière de mil
ndàa,blanc : être
nèàsär,"blanc, Européen"
àÿ,boire
kàsà,)isson
ärgè,)isson alcoolisée (fort)
mà j à,nn : être
"gènà, gènà",sse (la)
t à,uche
bôr,Français :
biya,bouillie
1eg£,bouillir
mbùr,boule de mil
bà,bourrer; pousser : piétiner
k£-bii,"bousier, scarabée sacrée"
ng6o,- Langues Sara
mèûu,brousse
n)j#6r,bruit de désapprobation
00,brûler
ngà,bûche
déw,cacher
nin,cadavre
mbàl,"cailloux, pierre, montagne"
rûto,calciner
nam,"imarade, copin"
k£-13y,iméléon
ndabé,inard
s£lé,inine
kéädé,inne de sucre
jam:Nar-jem,caracal
tètà,casser
yé,"ce, cet (emphatique)"
"nd, nà","ce, le"
büu,cendre
dàn,"centre, milieu"
pân,céphalophe à flancs roux
nd1 jà,cicatrice
dà-räa,ciel
1Èbô,cigogne marabout
mi i,cinq
kindè,"cithare, harpe"
g1ja,civette
ùn)j+,clair: être; allumer
gdng,clôture en bois
;jàl,cob des roseaux
k£-ngon-bir,coeur
tiyé,cc
bàÿ,mbien
bàÿ,mmen t ?
kds£,»ncombre
655,nfier
3j#,conseiller
süûu,conte
ndinga/ndinge,convoiter
màd#,copain
k£ré,coq
ng$$,"coquille, écaille, écorce"
gàjà,corne
ro,corps
kàdi,côté de: à
kàdi,"côté, poitrine"
bù Î,coton
k$$,cou; gorge
kil,coude
k£ré,couleurs; dessin; lignes
jà,couper
jà4g#,couper en morceaux (les os)
