nar,français
rû,à côté de
b¡yÐ :,abeille de terre
tèjÕ :,abeille; miel
bÕlÆ :,abri (animaux domestiques)
gòtÕ :,absence de
dän :,accompagner
màs¸ :,acide : être
túb¸ :,activer (feu)
màng :,acheter
ndüb¸,adorer; honorer
líbÕr :,aiguille
îl :,"aiguiser, affûter"
tár,aimer
hág¸ :,ainé de famille
bèé :,"ainsi, comme ça; seulement"
mbÆ-sôl :,aisselle
ßáà,"alors, ainsi"
àÛ a,aller
àt¸ :,amer : être
hólö :,ampoule a
kòrö,e
dº :,imal
n¸ngÉ :,"neau, bracelet"
ßäl,née
kûní-làä,née : cette
kà•-ßëé,"née, passée : le"
mbër :,annonce publique
käl :,antilope (cob de Buffon)
nàs¸ :,antilope cheval
ßär :,appeler
ßär,"appeller, nommer"
gö :,après
wú-dùm,arachide
k‡-ngär‡ngàng,araignée
käg¸ :,arbre
ßÕtÆ :,arbre : esp. de
jûnd¸,arbre : esp. de a
mät¸ :,arbre : néré
k¬yð :,arbre de karité
dïl :,arbre : cailcédrat
mòndö,arbre : esp. de
k¸ræ :,bre : kapokier
gáy :,bre : palmier doum
jÕngæ,buste : esp. de
góm,buste : esp. de
ngà® :,buste épineux : esp. de
kám,buste; feuille
g¸rð,c et flèche
ngÆ-b¸ræ-ndï,arc-en-ciel
"gúsÕ,nàr",argent
bîr-jó :,argile noir
ndÕbÆ,argile rouge
dÕbÆ,"arrêter, s'arrêter"
ndì :,Langues Sara
àsÕ,assez : être; suffire
kèdè,asticot
dÅç :,attacher
ngórö :,attendre
lá,attraper a la volée
njòr :,aubergine
ßó-làä,aujourd'hui
márí,"autrefois, auparavant a"
bùrùm,a
ùr :,a
jóÿ :,b
kÕ :,b
sÆ :,b
-nèé,avec [qc dont on a parlé]
mùndö :,eugle
ngè-kùm-tû,eugle
yûk‡,"oir de jeu, mal serrè"
ànd¸ :,oir des rapports sexuels
ndòg¸ :,"igner, se baigner"
ló :,iller
kúnd¸,Français
ndÕsæ :,balai
tÕgòn,balle de grain
mbäý :,barbe
nàÑg :,"bas, en bas"
dün :,bassin; rein
ÕndÆ :,"battre, frapper"
bàsá,beau : être
sáj¸ :,"beau-frère, belle-soeur"
ùm :,"beau-père, belle-mère"
ngªy,beaucoup; très
tád¸ :,bégayer
màndÕ :,belle : être
wár :,belle-soeur
ndà,blanc : être
nàsá± :,"blanc, Européen b"
màñg,"boeuf, vache"
¼ÿ :,boire b
kàsÕ :,isson
árgè :,isson alcoolisée (fort)
màjÕ :,n : être
bàl :,uc
dèr,uclier
tà,uche
bîr :,Français
bƒyð :,bouillie
èlë,bouillir
mù®,boule de mil
mbús¸ :,bourrer; pousser : piétiner
mÉng‡rÆ,"bousier, scarabée sacrée"
yël,braises
tû :,"briser, casser"
k‡-bü-bù :,brouillard
wà,brousse
kû© :,bruit
Å,brûler
ngî :,bûche
dîgÕ :,buffle
ßû,cacher
ìyæ :,cacher; tendre
nïÑ :,cadavre
mbà£ :,"cailloux, pierre, montagne"
nùt¸,calciner
kär,calebasse c
jènï,c
l¬yð,méléon
ndäbá :,nard
kád¸,nne de sucre
jëm,caracal
tètÕ :,casser
