ngam,français
màÿ,à l'envers
bàlà,abri (animaux domestiques)
dan,accompagner
nd+go,acheter
ki1,aisselle
àn1,"alors, ainsi"
àw,aller
-kât#,amer : être
hi1le,ampoule
kôro,Le
da,imal
B6al,née
kèni-1à,née : cette
nàs+,antilope cheval
kày,"antilope, bubale"
"sû-k£-ngon-kùr,süû",araignée
Kk1yo,arbre de karité
-d1l,arbre : cailcédrat
kzra,bre : kapokier
kämbé,buste; feuille
ndibà,argile rouge
d+bà,"arrêter, s'arrêter"
ndà,- Langues Sara
àsi,|'assez: être; suffire
ida,attacher
ngého,- | attendre
bùrèm,autruche
wûr,avaler
-kété,"avant, entre-temps"
tÈ,avec
sè-,avec (avec pronoms)
-ñ,{=
ndogo,"iigner, se baigner"
16,iiller
künd#,Français :
ndèisa,balai
dün,bassin; rein
indà,"battre, frapper"
ngéy,beaucoup; très
h$r,belle-soeur
kàsi-mbhûr,bière de mil
ndàhà,blanc : être
"nàsât,","blanc, Européen"
àÿ,boire
mà)jà,nn : être
tà,uche
bôr,Français :
biya,bouillie
neg£é,bouillir
Bà,bourrer; pousser : piétiner
ngo,- Langues Sara
ké,bruit
b5,cacher; tendre
nin,cadavre
kôhôr,"cailloux, pierre, montagne"
k£-noh6y,iméléon
gäd£,inne de sucre
n0,"ce, cet (emphatique)"
nfi,"ce, le"
sibà,célibataire
bü,cendre
bü,- Langues Sara
dàn,"centre, milieu"
mi,cinq
wWûn)j+,clair: être; allumer
wong,colère
bàÿ,mbien
ùsà,)ncerner
65h5,nfier
g61,consoler; bercer; tromper
màd#,copain
ng5hs,- Langues Sara
kéhà,corbeau
gàjà,corne
r0,corps
kàdà,"côté, poitrine"
kübE,coton
to,couché : être
ùr,coudre
k£dé,couleurs; dessin; lignes
+jà,couper
ng5d#,urse; courir
kàr,crapaud
nder,creuser
ngôr,croquer
nd1r,cuire
bing#,cuisse
ndèr,cultiver
)4mbal,chameau
pa,"anson, chant"
kül,1arbon
mal,1arognard
milà-kèm-beé,at
mÈlà,at sauvage
tara,chaussure
dow,"chauve-souris, esp. de"
sa,chercher
s£ndà,cheval
b1 ya,"chèvre, cabri"
bisé,chien
yé,chose
-tä44,d'abord
kèm,dans
ya,danser
"tii,njàr",chirer
t5-t#,dans
nètèé,hors
-10trht,main
ndijè,"demander, poser (question)"
ngang,dents
tÿ,dépasser
rét#,déplumer
nj£ba,déranger
k+da,dette
j1y6,deux
k£-dàng,diffèrent; ailleurs
nà,re; marqueur de convers
yèl,re; parler
Kk51,"-sputer, palabrer"
nàj#,"-sputer, quereller"
kùtà,_X
k£-ngon-j1,)igt
àd#,donner
bx,dormir; sommeil
gidà,dos
jikè,doucement
ndo,douleurs prenatales
kd,droite
ngàng,"dur, difficile : être"
màn,"eau, de l'eau"
ng$,écorce
dûdE,écraser
m5y,écureuil de Gambie
kèd#,é]
ndima,\prunter; prêter
gog#,\ arrière
t0,"icore, plus"
ngon,enfant
wo)?,"enfanter, accoucher"
-tàg#,"enfler, s'enfler, gonfler"
tu,enfumer [qc]
wor,"enlever, retirer"
màdr-bàa,ennemi
Bir,enrouler
nàa,ensemble : réciprocité
"00, woo","entendre, écouter"
düb#,"enterrer, semer"
mbèna,"entre, parmi"
"ndo-bâr,ndm-bâr,bâr",entrejambe
ndèm,"envelopper, emballer"
ilà,ivoyer
b5g#,aule
k5Sn,Français :
trga,"épuiser. finir, achever"
$È1là,esclave
-dùl,esp. d'antilope
ho,"et, aussi"
bs,"et, mais"
nàjà,"étaler, étendre (au soleil)"
-k£-mêmée,étoile
i,être
dà,être debout
nd6c,étudier; aprendre
-yèdz,excrément
kindè,fagot
65,faim
daha,LC
ndùj#,irine
kÔr,itigue
Ôr,itigué : être
n1yé,"femme, épouse"
gind#,fer
gir,fesses
hôr,feu
déng£,filet
ngon,"fils, fille"
ba,fleuve
nühü,"flotter, couler"
yÈhE,fondre
-tégf,)rce
woho,)rger
kÔdE,)rgeron
wong,"rt:être (boisson, magie)"
-gà)jà,Français :
s11,foyer
ngo-k6,"frère, soeur"
nù,front
ùsi,frotter
kàn,fruit
ydb£,fruit de karité
ày,"fuir, s'enfuir"
sàhà,fumée
gèl,gauche
-jà,nou
gàl,"gourde, esp. de"
dEngi,gourdin
kÈita-kül,grâce à
kàhà,grandparent
ùg,gratter
ndàng,gronder
b0,gros : être
yetz,guêpe jaune : esp. de
k:ngo,iche
minjo,iricot
doé,"ut, en haut"
màù,"herbe, paille; brousse"
kdY,hibou
tàg£i-bèé,- Langues Sara
kèsi,houe
yùb+,huile
s6s$,huit
bôngz,hyène
-làa,ici
Bèai,idiot
ngüûl,igname
ù-,"il, elle"
ndé)j#,imiter
Kkùr,secte
-tiht,itestins
jiyé,"jarre, canari"
-ro-nèl,"joie, félicité"
nd5,"jour, journée"
ndèinga,"jumeaux, jumelles"
n06,là-bas
nû,là-bas (loin)
iyà,laisser
mbà,lait
wûr,lancer un projectile sur
èna,"lancer, jeter"
nd9,langue
tà,"langue, langage"
1l à,large : être
t#go,laver
-4,"le, la, lui (obj. de verbe)"
ton,cher
k£-dé,quel
-d#,"ss, leur"
di,ane
dôgæmbz,lièvre
sày,loin
k£-nd5-mbélé,luciole
naha,lune
mong#,maigre : être
ta,maintenant
gàdj)i-d3,kèrfi
küjé,maison
moy,maladie
dingà,ile
isà,inger
ngàriyà,Français :
sûké,marché
ngàPi,mari
à,marqueur d'interrogation
Kk5$,marqueur de débarrassement
a,marqueur du futur
-9+,marqueur du pluriel : nom
t#,marqueur locatif
d31d6,matin. de bon matin
Kk1,médicament
Kké,mère
s600-t#,"eux, être mieux"
mbür,1 (mot général)
Èiwa,"1, esp. de."
dubû,Français :
k£-ndàdàrt,mille-pattes
mbètà,"mince, svelte : être"
--m,"mon, ma (oblique)"
àl,monter
wd à,"montrer, expliquer"
dù,mordre
yo,mort; sorcerie
bid#,mortier
woy,mourir
yil,moustique
-bàt#,mouton
gté,n'exister pas
kàl,iger
bèl,itte : sorte de
ndohé,uf (9)
kôn,Z
ndùl,noir :être
r1,nom
kûtà,nombre
bähay,"nombreux, être"
-jài-,| [nous (nom.)
-3j#,"nous (oblique); notre, nos"
yil,"nuageux, noir : être"
kùm,oeil
kàw,oeufs
yèl,oiseau
)ûmb#,oiseau : drongo
ndfil,ombre; esprit
nan,OS
k+ngs,phelin
dé,Français :
wal,ourébi
tèhe,ouvrir
tit#,pareil : être
à Î,"pas, ne ... pas"
bängàw,pe
-bomb#,au
ndaf,"‘au, cuir"
ndo,cheur
bèrà,père
béhé,- Langues Sara
sé,"peu, un peu"
bôr,phacochère
gumb#,piège
dér,"pigeon, tourterelle"
wèsi,piquer
tohù,pirogue
dù,"aie, blessure"
nèl,aire
s5m,eurer
nd1,uie
bèl,plume
pésà,poche
bir,poil
-kèsèng,poisson : capitaine
mbèr,pomme cannelle
-tà-kûj#,porte
)j-,porter
66hé,poser à plat
kæn)jà,poulet
tà,ur que
-tam-ya,ur; à cause de
tam-di,urquoi
-tàha,prendre
wüûn,prendre
t#na,"prêter, emprunter"
-gat#,prix
ngè,propriétaire
b+ilo-man | q,puits
wi a,pus
màm,python
KkàdE,"que, pour que"
hé,"que, qui"
ɗ,"1e, quoi"
bông,eue
néa,"ii, que"
ngèrà,icines
wûy,"ramasser, prendre"
àgà,ramper (un enfant)
disa,"raser, se"
kän,- Langues Sara
nàl,1 | rater; manquer
mbàr,rayon de miel
mbeté,refuser
pée,remuer
tzha,renvoyer; chasser
k5h$,:sidu
koho,spiration; repos; souffle
nàhà,2ster
ndél,"veiller, se réveiller"
tél,Français :
bènx,rhinocéros
kàr1,rien; vide; normale
igo,rire
j)àng,rival
mèàr,| | rônier
kèide,rouge : être
déb£,"route, chemin"
j)rng,ruche
nàng,sable
ngông,sac
Èhà se,"saisir, prendre"
ng5m,saison pluvieuse
nüré,ileté
hor,"live, crachat"
té,Français :
gèr,"savoir, connaître"
g£né,scorpion
tùtà,sec : être
ndog#,- Langues Sara
yée,secouer
mbà,sein
-kàt#,sel
gäng,separer
s1ri,sept
ndübà,"serpent, esp. de"
kér,sésame
kôonif,seulement
mèhé,.X
kindo-màn,if
-1d-s31,ir
til,"sombre, nuit"
bèna,son de mil
-nù,"son, sa"
brde,souche
-gir,"sous, dessous"
-kù)?,stérilité
njûbz,sucer
0,sucer
yil,sucer (enfant)
n1k#,sucré : être
tÈito,sueur; suer
mäng,tabac
kembere,€
gängä,"imbour, grand"
y0,termite blanc
dà-ningà,"terre, sol"
ning,terre; territoire
ndàm,testicules
dà,tête
-kast,tibia
-gédé,tige
dèndo,toile d'araignée
yèdi,mber (pluie)
-f,"on, ta; toi"
ngèl,>rche de paille
mè,Français :
b5 Î,tortue : esp. de
ti-nd5g#,"toujours, souvent"
nélmai,tourbillon
k5räy,tous
gôti,trace de
mb£re,traire; presser avec main
àti,tranchant : être
man,"traverser, passer"
ndèbi,trembler
kùti-mità,trente
sèirè,tresser
+)0,tresser (le secco)
mitàä,trois
bild,trou
mbüt#,"jouer; percé, être"
nd5d#,-ouver
i-,1; vous
E91,ler
-kégEm,Français :
ngéd£-màñn,urine
mùdè,vagin
kèe,"van, panier pour vanner"
buhur,varan
bày,venir de; se lever
nél,vent
kèm,ventre
mèti,"verge, pénis"
bük#,verser
d3,viande
be,llage
kùti-j06,ngt
läw,te
wW00,ir
mèàdr-be,Kul=ni-dàrüu
nd1,voix
"bègi,tèji",voler
t5mb#,vomir
oè,vouloir
-s£,üù | vous (acc.)
