ngambay,français
r5,à côté de
biyà,abeille de terre
té,"abeille, esp. de"
tènji,abeille; miel
bùlà,abri (animaux domestiques)
k$y-1èb,abri dans un champ
tôr,absence de
dan,accompagner
màs#,acide : être
ibi,activer (feu)
ndogo,acheter
1fbèri,aiguille
à1l,"aiguiser, affûter"
dèr,ainé de famille
bè,"ainsi, comme ça; seulement"
mà-s$61,aisselle
ndéà,"alors, ainsi"
àw,aller
àd#,amer : être
küraä-mar,ami
péle,ampoule
kôroro,Le
tum,iguille
da,imal
ningä,"ineau, bracelet"
bal,née
w3 Î-nè,née : cette
kà Î-nè,NoT=-bal-àa-béè
mber,annonce publique
mbür,antilope : espèce de
kal,antilope (cob de Buffon)
"tèbt, tobi",antilope (guib harnaché)
nàs#,antilope cheval
kàyà,"antilope, bubale"
lüûm,"antilope, eland de Derby"
baär : Sr-bar,appeler
bär,"appeller, nommer"
go,après
bül-ùbü,arachide
gâmagar,araignée
Kkäg+,arbre
"dira,yira",arbre : esp. de
Biaà,arbre : esp. de
k$m,arbre : esp. de
dângé,arbre : esp. de
kÔbà,arbre : esp. de
madx#,arbre : néré
d5 ÿ,arbre de karité
mà-kSr,"arbre, esp. [Vitex doniana]"
mbàg#,arbre : cailcédrat
käm-ndà-bina,arbre : esp. de
küra,bre : kapokier
gàÿra : Sr-gèr,bre : palmier doum
käm-mong,buste : esp. de
ngàr,buste épineux : esp. de
käm,buste; feuille
bäéndäng,-c et flèche
ngàw-büra-ndi,arc-en-ciel
gûsù,argent
énj1,argile noir
1ibà,argile rouge
gos0o,artiste
isi,- Langues Sara
àsi,|'assez: être; suffire
té,attacher
ng$b#,- | attendre
lâm,attraper a la volée
njôr,aubergine
65g£-nè,aujourd'hui
bü,autruche
ùrù,avaler
kédé,"avant, entre-temps"
gà,avec
sè,avec (avec pronoms)
-né,{=
njè-kèm-t5,reugle
y$g#,"roir de jeu, mal serrè"
ndàl,roir des rapports sexuels
ndogo,"iigner, se baigner"
16,iiller
kündu,Français :
ndisa,balai
yér,balancer sur la tête
ùwà,balayer
tisé,balle de grain
mbayÿ,barbe
bèf,"bas, en bas"
dun,bassin; rein
ùndà,"battre, frapper"
bàsà,beau : être
mèm,"beau-père, belle-mère"
ya,beaucoup; très
tèndi,bégayer
màndi,belle : être
wâr,belle-soeur
bil-bil,bière de mil
ndà,blanc : être
nèàsäâr,"blanc, Européen"
mang,"boeuf, vache"
ày,boire
k1do,)isson
ärgè,)isson alcoolisée (fort)
màji,nn : être
ginà,sse (la)
bàl,UC
dèr,uclier
tà,uche
bôr,Français :
bfya,bouillie
d1E,bouillir
müru,boule de mil
ùbà,bourrer; pousser : piétiner
bi-si:Sr-bii,"bousier, scarabée sacrée"
k5r-pèr,braises
ngsw,- Langues Sara
ts5,"> |briser, casser"
müm,brouillard
wàl à,brousse
kär,bruit
0,brûler
ng,bûche
dàgi,buffle
dèb},cacher
i ya,cacher; tendre
n1in,cadavre
mbàl,"cailloux, pierre, montagne"
ng6,calebasse
kär-mb1,calebasse - cuillère
ka,"calebasse, esp. de"
küûüra-mar,"imarade, copin"
1fya,iméléon
ndabé,inard
bàyna,incère de la peau
rège,inne de sucre
jsm,caracal
tèdi,casser
lé,"ce, cet (emphatique)"
nè-lé,"ce, le"
ngàw-bà,célibataire
bü,cendre
t51,- Langues Sara
dàn,"centre, milieu"
pan,céphalophe à flancs roux
1lä4w,cerémonie d'initiation
ndajfi,cicatrice
dàra,ciel
mi,cinq
kôndè,"cithare, harpe"
nja-bông-digi,civette
injt:Sr-=ùn)#,clair: être; allumer
àr,"clair, propre: être"
ngàw-kàn,clitoris
jàl,cob des roseaux
-bsngsrs,coeur
wong,colère
tiya,cc
làbz,")ller, se"
bànñ,mbien
bàn,mmen t ?
türa,mpter
ùsu,)ncerner
kès#,»ncombre
nds jt,conseiller
gé61,consoler; bercer; tromper
sû,conte
ndinga,convoiter
màr,copain
kûra,coq
ngéy,- Langues Sara
gägà,corbeau
kùl1a,corde
gàji:Sr-=gàjà,corne
da-rs,corps
kàr,côté de: à
kàr,"côté, poitrine"
bi,coton
"gébz, gésx",cou; gorge
to,couché : être
kil,coude
ùr,coudre
ndaji:Ssr-bâil,couleurs; dessin; lignes
ùnjà,couper
tüûga,"uper, hacher"
gèbérs,"urge non-comestible, esp."
r1ya,urgette : petite
ngodx,urse; courir
g3i,urt : être
kiya,uteau
bäém,Français :
t1b1,"cracher; crache, salive"
6s Î : sr=b5i,craindre; peur
ngir-bèdirè,crapaud
ù,creuser
no,crier
wôl,- Langues Sara
mèàr,crocodile
ngèr,croquer
nd1ir,cuire
küûl,cuire [la sauce longue]
bing,cuisse
èr,"cuit, à point : être"
ndà5,cultiver
bàngilà,cynocéphale
tàl,chacal
)ämbäl,chameau
nd35,champ
Bèyè,champignon
pa,"anson, chant"
külu,1arbon
mal,1arognard
ndo,asse; dieu de la chasse
bètü,at
mùl à,at sauvage
gid1,1atouiller
tüûnga,Français :
Ôb#,chauffer la base d'un arb
màarkébà,chaussure
ngs,chauve : être
dà-1ù,chauve-souris de maison
do,"chauve-souris, esp. de"
ndi,chavirer
mbàng,chef
tàw,chenille (sans poils)
1à4g$f-1àa,chenille poilue
sa,chercher
kûnda,cheval
yingà,) cheveux
b1 ya,"chèvre, cabri"
ndé y,chicotte
ndé y,chicotte
bist,chien
mbér,choisir
né,chose
yèr,chose dégoutant
B4,d'abord
mè,dans
1è,danser
tri,chirer
dàn-g£f,dans
dégé,hors
mbé,jà
bèrè,main
dèji:Sr-dijè,"demander, poser (question)"
ndoo,démanger
nar,démener; arracher
ngang,dents
t3y,dépasser
ddi,"déplacer, se"
t5r,déplumer
tébz,déranger
gir:Sr-=gidà,derrière
disi,descendre
"ùr, ùr",descendre; entrer
-tüdu,"détacher, délier"
tüj1,détruire; abîmer
Baäng,dette
)06,deux
n0,devant
tà,devant
sû-Bbe,devinette
ndèng,diarrhée : avoir
Lüba,Dieu; Luwa (frère de Sou)
Béd£,diffèrent; ailleurs
nà,re; marqueur de convers
pè,re; parler
Kk5S1,"-sputer, palabrer"
naj1,"-sputer, quereller"
dàgi,_X
ngon-j1,)igt
àr,donner
Bt,dormir; sommeil
gir,dos
dègègè,doucement
ndo,douleurs prenatales
mäy,douter
sûr,droit
ngisa,"droit, tout"
kÔl,droite
ngàng,"dur, difficile : être"
màn,"eau, de l'eau"
ndubu,éclater; vacarme
ngy,écorce
màama,écorce sec
r5dx,écraser
tèl,écraser (le foudre)
ndàng,écrire
ndàm,écureuil : esp. de
65n,écureuil de Gambie
mbél,échanger [qc]
KkèT,é]
"ùl, ngsm",ever; nourrir
yel,\poisonner
ndima,\prunter; prêter
gôg£,\ arrière
tàsfrà,\ vain
"béy,","icore, plus"
10,Français :
ndèm,"enduire d'huile, oïindre"
ngon,enfant
dii,"enfanter, accoucher"
nim,enfiler
ti,"enfler, s'enfler, gonfler"
"su, tu",enfumer [qc]
ningà-bé1s,engoulevent
Ôr,"enlever, retirer"
njè-bàa,ennemi
ké,enrouler
Birt,enrouler
nà3-dé,ensemble
nàa,ensemble : réciprocité
ndüru,entasser
00,"entendre, écouter"
dübuü,"enterrer, semer"
mbüna,"entre, parmi"
gâl,entrejambe
mè-mba,entrejambe
ànd#,entrer
té,"envelopper, emballer"
ma Î,vie de
ùl à,ivoyer
ndèr,ais : être
jane,">arpiller, écarter"
bagx,aule
kün,Français :
rùnga,"épuiser. finir, achever"
làbà,escargot
Bèr,esclave
dül,esp. d'antilope
bôr,essuyer
1é6m,"et, aussi"
nè,"et, mais"
nàji,"étaler, étendre (au soleil)"
âytisé,éternuement
kérwé,étoile
to,être
àr,être debout
ndé,étudier; aprendre
si,excrément
bäâw-nd35,expert cultivateur
Kkir,fagot
66,faim
da,LC
ndàw,ire griller à sec
Et0o,"ire mal, faire souffrir"
ndù)j1:Sr-=-ndù)j#,irine
kèr,itigue
dàw,itigué : être
mérEm,iucille
dèné,femme
dèné,"femme, épouse"
gaj1,fendre
njàrè,"fendre, couper"
"riya, riba",fendre; déchirer
kaäay,fendre; diviser; partager
ùdu,- Langues Sara
küdi,fesses
pèr,feu
büra,filet
ngon,"fils, fille"
ndèÿ,filtrer
màg#,fille initiée
ndè1e,flétrir:se
-püdu,fleur; fleurir
ba,fleuve
nûÿ,"flotter, couler"
ùr,foie
méro,foin (pour les animaux)
gôl,fois
lèe,fondre
