french_term,Beb,Bd,Db,Gor,Gu,KbN,Kbb,Lk,Mb,Mo,Nar,Ngb,Sr,NgT
à côté de,mb$,r5,,gsd#,ra,,rs5,,ro,mbé,r5,r5,r5,
à l'envers,,,,,,,,£-mbawfya,,mèé,,,,màÿ
abeille de terre,b} y,biyà,,b}yè,tüjü-b},bèy,bi yà,bi y,b] yà,biys,b)yè,biyà,b\yà,
"abeille, esp. de",,,,,ké-tèé : KoN=-tàÿ,,,£-Cèé : Mh=ké-tèé,,,,té,ké-tèy,
abeille; miel,tèji,tèjà,tèi,tèji,tüjù,,tèji,tèji,tèji,tôjà,tèji,tènji,tèjà,
abri (animaux domestiques),bà1,bilè,bùl à,bô10,bôle,bùl à,bùl à,bùl à,,bôlè,b+1è,bùlà,bilà,bàlà
abri dans un champ,,,,,,,,kéy-1ù,,kéy-10,,k$y-1èb,,
absence de,t6,t6,,tôr,gùtù,,tuür,téro,gét£,gètà,gôti,tôr,gût;,
accompagner,dan,dan,dan,dän,dän,däna,dan,dan,dan,dän,dan,dan,dan,dan
acide : être,màs#,màs+,màs,màs+,màs+,k41a,màs#,màs#,,màs+,màsx : Ng9T-s£ma,màs#,màs#t,
activer (feu),ibà,ibà,ib,,ibà,,,pèr : Mh=ibà,,ibà,tübz,ibi,sètà,
acheter,ndog#,ndog#,nj1g0,ndog*,ndogo,ùbo,ndoko,ndogo,nd#go,ndog#,màng,ndogo,màang,nd+go
adorer; honorer,t5jx,t5jx,,,d3y,,,"polo,",ndüb,,ndübx,,,
"aigre, acide : être",,,,,ùdù,,,ùru,idè,,,,,
aiguille,léwri,n$b£li,,ibérii,libéri,nibiri,,11b1,1fbèr,1ibri,libèr,1fbèri,libèr,
"aiguiser, affûter",ÿ1,1,t#1,d1,dl,È1E,31,31,31,31,31,à1l,dl,
aimer,,,,,tär,nàw,,njigi,tàâr:Nar-tär,,,,tàr,
ainé de famille,dèr,dèr,dèr,dèr,dèr,ni-kÔ0,dèr,dèr,,dèr,häâg#,dèr,hàgà,
"ainsi, comme ça; seulement",bè,bè,,bàa,bè,,,,,bè,bèé,bè,bèe,
aisselle,màti-k$1,"mà,s#1l",s$1,màaksy,gir-s$l,mÔto-kaäm,mÔti-s$l,-modi-s$],màsé1,màasél,mbè-s61,mà-s$61,g{ir-s6],ki1
"alors, ainsi",dé,è,à,bè-4y£,béà,,à,"däà, némà : Mhb=àne",,"hél, $6:Nar-béà",,ndéà,à,àn1
aller,à,àw : Do=àw,,àN,àw,àbe,àÿ : Kul=àBe,àw,àÿ,dù,àw,àw,àw,àw
amer : être,àt#,àt#,àt,àt#,àt#,kâta,àt#,àd#,àt#,àt#,àt#,àd#,àtt,-kât#
ami,màd# : Do=mad,,,màad,màad#,,,njè-küra,,màd#,,küraä-mar,màadx,
ampoule,p61e,péle,,pôle,péle,,péle,p610,hf1e,p6le,h610,péle,h61o,hi1le
Le,koôro,kôro,kèd®©,kdroro,kdro,,kôroro,kôroro,,kôro,kdro,kôroro,kdro,kôro
iguille,,tum,,tum,,,,tum,tüm,,,tum,,
imal,da,da,da,da,da,)a,da : Kul=)a,,daa,da,da,da,da,da
"ineau, bracelet",£-nEngé,ningé,,$£-n$ngs,ningé,,£-ningäà,£-ningä,ningäà,$f-nfings,n#ngé,ningä,nængâ,
née,6a1l : Ba=6al,,,Bal,bäl,-Bala,Bal : Kul=Bala,bal,Ba1,6äl,bal,bal,Bal,B6al
